national_id,bureau_score,num_open_loans,total_debt,monthly_debt_payments,missed_payments_12m,defaults,credit_utilization,oldest_account_years,hard_inquiries_6m
034512789,720,1,45000,1800,0,0,0.35,8,1
045678123,640,2,60000,2500,1,0,0.60,4,2
023456781,520,3,120000,4500,3,1,0.95,12,5
056789234,780,1,30000,1200,0,0,0.20,20,0
067890345,690,2,90000,3800,1,0,0.55,10,2
078901456,650,0,8000,400,0,0,0.45,2,1
012345678,760,0,0,0,0,0,0.10,30,0
089012567,560,2,75000,3200,4,2,0.85,9,4
311478502,700,3,180000,5200,0,0,0.50,25,1
358024917,480,1,90000,3000,2,1,0.80,9,3
